縣市別代碼,行政區,地點,地址,X,Y
63000,63000010,萊爾富松山民生東,民生東路3段113巷6弄19號1樓、復興北路313巷6號,121.5451834,25.05859065
63000,63000010,萊爾富松山無雙店,光復南路13巷16號,121.5592885,25.04771568
63000,63000010,萊爾富松山京東店,南京東路5段123巷33號,121.5606895,25.05294472
63000,63000010,萊爾富松山新聚店,南京東路5段250巷18弄20號,121.5671247,25.05014052
63000,63000010,萊爾富北市松清店,南京東路5段250巷3-1號,121.5659572,25.05065326
63000,63000010,萊爾富北市松康店,健康路325巷12弄2號,121.5673516,25.05538828
63000,63000010,萊爾富北市松遠店,撫遠街369巷36號,121.5659702,25.06422827
63000,63000010,萊爾富松山撫遠店,撫遠街394巷1號,121.5654954,25.06498314
63000,63000010,OK台北錦三店,三民路137號,121.5631398,25.06031806
63000,63000010,OK台北豐達店,敦化北路155巷87號之1,121.5515417,25.05418243
63000,63000010,美廉社松山南京東店,南京東路4段133巷5弄8號,121.5554167,25.05230827
63000,63000010,美廉社松山南京東二店,南京東路5段250巷36弄25號,121.5674324,25.04980665
63000,63000010,美廉社松山新東店,新東街12巷1號,121.5662761,25.05780981
63000,63000010,美廉社松山寶清店,寶清街40號,121.5676661,25.05298582
63000,63000010,星巴克台視,八德路3段10號,121.5498269,25.0480395
63000,63000010,星巴克宏泰,民生東路3段156-1號,121.5476807,25.0571696
63000,63000010,星巴克微風南京,南京東路3段337號,121.5479946,25.0519631
63000,63000010,星巴克敦化,敦化北路147號,121.54936,25.05390772
63000,63000010,85度C台北光復北店,光復北路167號,121.5555545,25.05738416
63000,63000010,路易莎健安新城,三民路29巷6號,121.5628581,25.05506971
63000,63000010,路易莎民生富錦直營,三民路113巷1-3號,121.563295,25.0579312
63000,63000010,路易莎松山生活運動門市,市民大道6段131號,121.578755,25.04960005
63000,63000010,路易莎民生敦北門市,民生東路4段71號,121.5512001,25.05803796
63000,63000010,路易莎民生光復店,民生東路5段3號,121.5555882,25.05843019
63000,63000010,路易莎民權復興門市,民權東路3段132號,121.5462288,25.06184029
63000,63000010,路易莎慶城店,慶城街16巷10號,121.5456125,25.05265362
63000,63000010,路易莎麥帥店,南京東路5段250巷2弄19號,121.5671419,25.05078828
63000,63000010,路易莎健康門市,健康路9號,121.5525308,25.05306614
63000,63000010,路易莎敦北店,敦化北路244巷35號,121.5476664,25.06102162
63000,63000010,路易莎民生圓環店,新東街33號,121.5657292,25.05971075
63000,63000010,cama caf'e民權復興店,民權東路3段120號,121.5455534,25.06187755
63000,63000020,信義廣場,信義路5段15號,121.5668975,25.03314664
63000,63000020,松山文化創意園區,光復南路133號,121.5579319,25.04391748
63000,63000020,市府轉運站大樓周邊人行道,忠孝東路5段6號,121.5651527,25.04086658
63000,63000020,市政大樓戲沙區周邊區域,市府路1號,121.5637838,25.037523
63000,63000020,興雅國小周邊人行道,基隆路1段83巷9號,121.570074,25.04676695
63000,63000020,三興國小周邊人行道,基隆路2段99號,121.558027,25.0297204
63000,63000020,信義運動中心戶外區域,松勤街100號,121.5667558,25.03180455
63000,63000020,松山高級工農職業學校周邊人行道,忠孝東路5段236巷15號,121.5720411,25.03985249
63000,63000020,松山家商,松山路655號,121.580164,25.03482963
63000,63000020,永春高中周邊人行道,松山路654號,121.5786622,25.03270961
63000,63000020,松山高中周邊人行道,基隆路1段156號,121.5658251,25.04387812
63000,63000020,興雅國中周邊人行道,松德路168巷15號,121.5723546,25.03643756
63000,63000020,永吉國中周邊人行道,松隆路161號,121.5741406,25.04833574
63000,63000020,瑠公國中周邊人行道,福德街221巷15號,121.5853271,25.0370676
63000,63000020,信義國中周邊人行道,松仁路158巷1號,121.567932,25.02860969
63000,63000020,永春國小周邊人行道,松山路225巷48號,121.5789479,25.04469633
63000,63000020,光復國小周邊人行道,光復南路271號,121.5578199,25.04024283
63000,63000020,信義國小周邊人行道,松勤街60號,121.5632245,25.03183255
63000,63000020,吳興國小周邊人行道,松仁路226號,121.5685898,25.02601597
63000,63000020,福德國小周邊人行道,福德街253號,121.5865297,25.03890077
63000,63000020,永吉國小周邊人行道,松山路287巷5號,121.5797533,25.04334654
63000,63000020,博愛國小周邊人行道,松仁路95巷20號,121.5711337,25.03644331
63000,63000020,香堤廣場,松高路、松智路、松壽路及松高路20巷間之區域,121.567035,25.03744553
63000,63000020,協和祐德高中周邊人行道,忠孝東路5段790巷5號,121.5818945,25.04351598
63000,63000020,象山親山步道,信義路五段150巷22弄,121.5710063,25.02719405
63000,63000020,市政大樓及周邊戶外區域,市府路1號,121.5637838,25.037523
63000,63000020,臺北市私立宗周幼兒園緊臨人行道,松山路393巷32號1樓及忠孝東路5段621巷4號1樓,121.5791185,25.04239533
63000,63000020,臺北市私立友愛幼兒園緊臨人行道,忠孝東路5段524巷5弄23號1樓,121.5806347,25.04100987
63000,63000020,財團法人台北市中華基督教青年會附設臺北市私立永吉幼兒園緊臨退縮地及人行道,永吉路500號,121.5798009,25.04542834
63000,63000020,臺北大巨蛋園區所屬之室外場所,忠孝東路4段515號,121.55951,25.04266
63000,63000020,7-11春光,大道路9號,121.581582,25.04260152
63000,63000020,7-11革新,永吉路32號,121.5689539,25.04552718
63000,63000020,7-11永吉,永吉路217號,121.5739937,25.04570834
63000,63000020,7-11光復,光復南路471號,121.5576686,25.03372187
63000,63000020,7-11復昌,光復南路616號,121.5572912,25.03225042
63000,63000020,7-11三興,吳興街156巷2弄2號4號,121.5614468,25.02913408
63000,63000020,7-11醫學,吳興街257號259號,121.5637764,25.02710106
63000,63000020,7-11信醫,吳興街346號348號,121.5663395,25.02583166
63000,63000020,7-11泰興,吳興街600巷94號,121.571162,25.01862724
63000,63000020,7-11莊敬路,莊敬路390號,121.5654756,25.02738643
63000,63000020,7-11鑫麟,和平東路3段391巷22號1樓,121.5583732,25.0203934
63000,63000020,7-11麟運,和平東路3段461號1樓,121.5588669,25.0186627
63000,63000020,7-11巨蛋,忠孝東路4段500-2號,121.5616991,25.04090086
63000,63000020,7-11松捷,忠孝東路5段1-6號,121.5651411,25.04129605
63000,63000020,7-11松山,忠孝東路5段386號,121.5741207,25.04074451
63000,63000020,7-11忠林,忠孝東路5段470號,121.576849,25.04067989
63000,63000020,7-11武松,松山路121號1樓,121.577955,25.04738848
63000,63000020,7-11開源,松山路136號,121.5776088,25.04727691
63000,63000020,7-11新東宮,松山路455號,121.5780061,25.03980667
63000,63000020,7-11宏泰,松仁路91-1號1樓,121.5688962,25.03690456
63000,63000020,7-11北府,松仁路162號,121.5682082,25.02838564
63000,63000020,7-11松仁,松仁路213號,121.5685113,25.0268368
63000,63000020,7-11信林,虎林街222巷7號,121.5771678,25.03722144
63000,63000020,7-11松高,基隆路1段141號1樓,121.5658435,25.04298287
63000,63000020,7-11必成,基隆路1段178號,121.5649649,25.04239374
63000,63000020,7-11凱悅,基隆路1段398號,121.5600664,25.03425636
63000,63000020,7-11中興,基隆路2段22號,121.5587282,25.03193628
63000,63000020,7-11昌隆,基隆路2段131-3號,121.5567809,25.02807767
63000,63000020,7-11喬治,基隆路2段155號,121.5543785,25.02577538
63000,63000020,7-11福中,福德街159號,121.5833417,25.03769032
63000,63000020,7-11留公,福德街247號,121.585879,25.03874566
63000,63000020,全家大道店,大道路79號1樓,121.582614,25.04075806
63000,63000020,全家永吉二店,永吉路223號,121.5741334,25.04570833
63000,63000020,全家光復南路店,光復南路447之2號,121.557688,25.03518335
63000,63000020,全家復昌店,光復南路505號,121.5576207,25.03199674
63000,63000020,全家北醫店,吳興街263號,121.5638549,25.0270044
63000,63000020,全家三興店,吳興街7號,121.5594896,25.03172516
63000,63000020,全家忠信店,忠孝東路5段425號1樓,121.5754348,25.04101614
63000,63000020,全家松盛店,松山路153號,121.5779644,25.04653435
63000,63000020,全家新安興店,松仁路240巷2號,121.56919,25.02481881
63000,63000020,全家新松林店,虎林街61-4號,121.5770769,25.04626477
63000,63000020,全家永林店,虎林街82巷23號,121.5762411,25.04336848
63000,63000020,全家新貿店,信義路4段407號1樓,121.558933,25.03325462
63000,63000020,全家松友店,信義路6段78號,121.5769823,25.03526738
63000,63000020,全家財盛店,基隆路2段113之2號,121.5571356,25.02866571
63000,63000020,全家崇德店,崇德街29號,121.5538588,25.02438025
63000,63000020,全家景聯店,莊敬路190號,121.5611567,25.03077371
63000,63000020,全家莊新店,莊敬路307號,121.5633684,25.02843767
63000,63000020,全家莊敬店,莊敬路374號,121.5648964,25.02755511
63000,63000020,萊爾富北市信吉店,永吉路125號1樓,121.570257,25.04581623
63000,63000020,萊爾富信義永吉店,永吉路278巷27弄34號,121.5752499,25.04450838
63000,63000020,萊爾富北市松永店,永吉路280號,121.5742671,25.04538095
63000,63000020,萊爾富北市信彩店,基隆路1段350之41號1樓,121.561132,25.0365742
63000,63000020,OK台北忠孝店,忠孝東路5段725號1樓,121.5806829,25.0429124
63000,63000020,美廉社信義虎林三店,虎林街61-3號,121.5770767,25.04628478
63000,63000020,美廉社信義崇德店,崇德街59號,121.5546964,25.02433357
63000,63000020,星巴克信義經貿門市,信義路5段106號,121.5667733,25.03258749
63000,63000020,85度C台北永吉店,永吉路269號,121.5753822,25.04567097
63000,63000020,85度C台北莊敬店,莊敬路416號,121.5662461,25.02714401
63000,63000020,路易莎永春概念門市,永吉路326巷50號,121.5753531,25.0438657
63000,63000020,路易莎永春門市,忠孝東路5段458號1樓,121.5764779,25.04068706
63000,63000020,路易莎信義永春門市,松山路562號,121.5781837,25.03736181
63000,63000020,路易莎松山高中門市,基隆路1段188-1號,121.564743,25.04202113
63000,63000020,路易莎信義吳興門市,基隆路2段16號,121.5588343,25.0321111
63000,63000020,路易莎福德大道門市,福德街183號,121.5839867,25.03801822
63000,63000020,cama caf'e莊敬松仁店,松仁路207-1號,121.5685088,25.02704116
63000,63000020,彼得好信義大安店,信義路3段170號,121.5420014,25.0331509
63000,63000020,彼得好市府松菸店,基隆路1段188號,121.5647585,25.04204586
63000,63000020,彼得好世貿店,基隆路2段51號,121.5585314,25.0309832
63000,63000020,7-11廣慈,大道路115號,121.5831337,25.03962395
63000,63000020,7-11後山埤,中坡北路11號,121.5810005,25.04460629
63000,63000020,7-11信吉,永吉路278巷58弄2號,121.5740457,25.04351997
63000,63000020,7-11永信,永吉路30巷103號,121.5688764,25.04347806
63000,63000020,7-11敦厚,永吉路30巷168弄1號,121.5685999,25.04202307
63000,63000020,7-11仁和,光復南路419巷41號,121.5584801,25.0365881
63000,63000020,7-11松敬,吳興街11號,121.5595785,25.03167775
63000,63000020,7-11北醫大,吳興街250號,121.5627109,25.02661963
63000,63000020,7-11吳興,吳興街284巷18弄2號,121.5635078,25.02463786
63000,63000020,7-11總站,吳興街486號,121.5695683,25.02343442
63000,63000020,7-11惠安,吳興街520號,121.5688571,25.02210595
63000,63000020,7-11巨東,忠孝東路4段553巷6弄2號,121.5629032,25.04222136
63000,63000020,7-11松聯,忠孝東路4段559巷24號,121.5637818,25.04267208
63000,63000020,7-11聯合,忠孝東路4段559巷6號,121.5637013,25.04185969
63000,63000020,7-11新工農,忠孝東路5段236巷6-3號,121.5717819,25.0401938
63000,63000020,7-11光東,忠孝東路5段524巷1弄1號,121.5795167,25.04121713
63000,63000020,7-11捷忠,忠孝東路5段617號,121.5789707,25.04161737
