項次,縣市別代碼,行政區,公園名稱,位置
600,63000,北 投,忠義,忠義路4段48號附近.
601,63000,北 投,承仙,公?路423巷8弄旁.
602,63000,北 投,承德1號,北投士林科技園區(綠1，區段徵收，承德路6段359號加氣站對面)
603,63000,北 投,承德2號,北投士林科技園區(綠2，區段徵收，承德路6段331巷口對面)
604,63000,北 投,承德3號,北投士林科技園區(綠3，承德路6段臨335-2號對面)
605,63000,北 投,承德4號,北投士林科技園區(綠4，承德路6段329號對面)
606,63000,北 投,承德5號,北投士林科技園區(綠5，區段徵收，承德路6段、文林北路5巷交口)
607,63000,北 投,明德,東華街1段6號附近.
608,63000,北 投,林投坑(一)號,中央北路2段257號後.
609,63000,北 投,林投坑(二)號,中央北路2段257號後.
610,63000,北 投,致遠,致遠一路2段(自強市場旁).
611,63000,北 投,健行,致遠三路147巷2弄13號後
612,63000,北 投,清江(二)號,崇仁路1段152號旁.
613,63000,北 投,番仔厝,大業路517巷口旁.
614,63000,北 投,華齡,公?路423巷11-17號前.
615,63000,北 投,溫泉,溫泉路137號旁.
616,63000,北 投,福美1號,北投士林科技園區(綠6，區段徵收)
617,63000,北 投,福美2號,北投士林科技園區(綠7，福國路延伸段)
618,63000,北 投,福美3號,北投士林科技園區(綠8，福國路延伸段)
619,63000,北 投,福美4號,北投士林科技園區(綠9，福國路延伸段)
620,63000,北 投,福美5號,北投士林科技園區(綠10，福國路延伸段)
621,63000,北 投,福美6號,北投士林科技園區(綠11，福國路延伸段)
622,63000,北 投,磅空頂,大度路3段301巷28弄底、305號(關渡派出所旁)、馬偕護校東側(原北投第二號公墓)
623,63000,北 投,櫻花崗,石牌路2段與天母北路交口.
624,63000,北投,文化,"大業路,永興路一段交口."
625,63000,松 山,臺北市迎風狗運動,迎風河濱公園金泰段
626,63000,松 山,239號,敦化北路與民權東路3段交口.
627,63000,松 山,387號,健康路45巷旁
628,63000,松 山,八德,八德路2段346巷5弄旁.
629,63000,松 山,三民,三民路、撫遠街298號
630,63000,松 山,中華,敦化北路145巷旁.(原北寧公園)
631,63000,松 山,民生,民生東路5段36巷4弄與8弄間.
632,63000,松 山,民有一號,民生東路3段160巷19弄內.
633,63000,松 山,民有二號,民生東路3段113巷旁.
634,63000,松 山,民有三號,民生東路3段113巷25弄內.
635,63000,松 山,民權,"富錦街359巷2弄,民權國小邊."
636,63000,松 山,吉仁,延吉街與八德路3段交口.
637,63000,松 山,吉祥,八德路4段245巷56弄旁.
638,63000,松 山,安平,南京東路5段251巷32弄旁.
639,63000,松 山,西松,健康路、三民路交口.
640,63000,松 山,延壽一號,光復北路177巷內.
641,63000,松 山,延壽二號,民生東路4段56巷1弄旁.
642,63000,松 山,延壽三號,民生東路4段56巷旁.
643,63000,松 山,松基,興安街174巷旁.
644,63000,松 山,松榮,光復北路、富錦街交口.
645,63000,松 山,長壽,南京東路5段59巷、健康路口.
646,63000,松 山,美仁一號,八德路3段99巷旁.
647,63000,松 山,美仁二號,八德路3段99巷旁.
648,63000,松 山,健康,"寶清街111巷旁,松山變電所旁."
649,63000,松 山,婦聯,延壽街330巷旁(松山醫院東側).
650,63000,松 山,富民生態,三民路、新東街之間，三民路130巷旁
651,63000,松 山,富錦一號,民生東路5段69巷2弄旁.
652,63000,松 山,富錦二號,民生東路5段69巷4弄南側.
653,63000,松 山,富錦三號,民生東路5段69巷4弄北側.
654,63000,松 山,富錦五號,民生東路4段97巷4弄旁.
655,63000,松 山,富錦六號,民生東路4段105號旁.
656,63000,松 山,復源,光復南路22巷與32巷間.
657,63000,松 山,敦中,敦化北路4巷25弄旁.
658,63000,松 山,敦化,八德路3段12巷20弄旁.
659,63000,松 山,敦化苗圃,敦化北路與民權東路3段交口.
660,63000,松 山,敦北,敦化北路與民權東路4段交口.
661,63000,松 山,新中,新中街12巷旁.
662,63000,松 山,新東,新東街20巷內
663,63000,松 山,寧安,光復北路60巷旁.
664,63000,松 山,精忠,民生東路4段97巷6弄旁.
665,63000,松 山,精忠二號,民生東路4段80巷旁(民生國小前).
666,63000,松 山,慶城,慶城街16巷內.
667,63000,松 山,撫遠,撫遠街379巷旁.
668,63000,松 山,舊宗１號,"撫遠街,撫遠街抽水站旁.(環保公園)"
669,63000,松 山,舊宗２號,"撫遠街,松山抽水站兩側."
670,63000,松 山,鵬程,健康路325巷6弄旁.
671,63000,松 山,寶清,寶清街30巷旁.
672,63000,松 山,復盛,八德路4段106巷
673,63000,松 山,130號,八德路、長安東路交口
674,63000,松 山,圓環,三民路圓環
675,63000,信 義,350號,松高路與基隆路1段交口.(信義計畫區內)
676,63000,信 義,351號,松高路與松智路交口.(信義計畫區內)
677,63000,信 義,379號,景雲街 (挹翠山莊自行開闢)
678,63000,信 義,三張里,松勤路與松平路間(信義國中北側).(信義計畫區)
679,63000,信 義,三?,信義路5段150巷14弄(段津薪捐贈)
680,63000,信 義,三興,吳興街156巷40弄內.
681,63000,信 義,中全,虎林街164巷
682,63000,信 義,中興,基隆路1段380巷與光復南路473巷旁
683,63000,信 義,五分埔,中坡北路及松隆路口.
684,63000,信 義,五常,"永吉路225巷底,永吉國中東南側"
685,63000,信 義,四育,虎林街50巷與永吉路321巷邊
686,63000,信 義,永吉,永吉路278巷57弄內
687,63000,信 義,永春,忠孝東路5段703巷1弄與松山路393巷
688,63000,信 義,永春陂濕地,松山路松山家商旁(永春陂)
689,63000,信 義,永春崗,松山路656巷2號旁.
690,63000,信 義,安強,虎林街212巷、松德路133巷交口.
691,63000,信 義,吳興,吳興街432巷114號.
692,63000,信 義,念儒,忠孝東路5段236巷37弄旁.(信義計畫區)
693,63000,信 義,松友,信義路6段76巷2弄內.
694,63000,信 義,松智,松高路與信義路5段中間之松智路右側.(信義計畫區內)
695,63000,信 義,松德,"松德路180巷,興雅國中西側.(信義計畫區)"
696,63000,信 義,林口,松山路515巷內.
697,63000,信 義,虎林,信義路6段76巷與松德路307巷內交口.
698,63000,信 義,信義安康,博愛國小旁.(信義計畫區)
699,63000,信 義,春光,忠孝東路5段、林口街交口.
700,63000,信 義,革新,基隆路1段109巷與松隆路邊
701,63000,信 義,泰和,吳興街600巷、吳興街583巷67弄.(原六和公園)
702,63000,信 義,眷村文化,"松勤路與莊敬路交口,信義國小西側.(信義計畫區)(民政局開闢)"
703,63000,信 義,富台,"松信路,虎林街120巷交叉口"
704,63000,信 義,富生,永吉路30巷157弄
705,63000,信 義,惠安,吳興街320巷65號前.
706,63000,信 義,景平,莊敬路289巷內.(信義計畫區)
707,63000,信 義,景勤1號,吳興街220巷59弄旁(原陸軍保養廠)
708,63000,信 義,景勤2號,信安街、吳興街220巷交口(原陸軍保養廠).
709,63000,信 義,象山,信義路5段150巷.(信義計畫區)
710,63000,信 義,雅祥,松信路、基隆路1段35巷7弄交口.
711,63000,信 義,福祥,永吉路127巷口.
712,63000,信 義,福德,"福德街,大道路口."
713,63000,信 義,黎忠,和平東路3段435巷7弄13號前.
714,63000,信 義,黎富,富陽街92號前
715,63000,信 義,黎雙,"吳興街284巷22弄內,台北醫學院南側"
