NO,Administrative district,Riverside Park,Location,Type,Remark,Longitude,Latitude,Long_TWD97,Lat_WD97
85,中山區,美堤河濱公園,美堤租借站旁,景觀,,121.561331,25.075889,306626.4895,2774300.792
86,中山區,美堤河濱公園,兒童遊戲場旁,景觀,,121.556304,25.076476,306119.0931,2774363.715
87,中山區,美堤河濱公園,兒童遊戲場旁,景觀,,121.55632,25.076476,306120.7072,2774363.722
88,中山區,美堤河濱公園,兒童遊戲場旁,景觀,,121.556293,25.076466,306117.988,2774362.603
89,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,121.50437,25.019374,300903.55,2768018.24
90,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,121.504342,25.019402,300900.72,2768021.33
91,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,121.504324,25.019419,300898.89,2768023.21
92,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,121.504305,25.019429,300896.97,2768024.31
93,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,121.504292,25.019466,300895.64,2768028.4
94,內湖區,彩虹河濱公園,麥帥一橋下,景觀,,121.574025,25.053388,307921,2771818
95,內湖區,彩虹河濱公園,麥帥一橋下,景觀,,121.574015,25.0534,307921,2771818
96,內湖區,彩虹河濱公園,麥帥一橋下,景觀,,121.573995,25.053422,307921,2771818
97,內湖區,彩虹河濱公園,輪狀車練習場,景觀,,121.572616,25.059006,307764,2772441
98,內湖區,彩虹河濱公園,輪狀車練習場,景觀,,121.57259,25.059005,307764,2772441
99,內湖區,彩虹河濱公園,輪狀車練習場,景觀,,121.572563,25.059005,307764,2772441
100,內湖區,彩虹河濱公園,網球場旁,景觀,,121.5723422,25.06170194,307744,2772734
101,內湖區,彩虹河濱公園,網球場旁,景觀,,121.5723422,25.06170194,307744,2772734
102,內湖區,成美右岸河濱公園,潭美街與新明路536巷交叉口,固定式,,121.576508,25.052996,308168.37,2771771.46
103,萬華區,華中河濱公園,遊憩區旁,景觀,,121.49299,25.01804,299755.8969,2767866.254
104,萬華區,華中河濱公園,遊憩區旁,景觀,,121.493019,25.01798,299758.4969,2767859.618
105,萬華區,華中河濱公園,遊憩區旁,景觀,,121.493053,25.017921,299761.9523,2767853.096
106,萬華區,華中河濱公園,遊憩區旁,景觀,,121.493091,25.017856,299765.8137,2767845.91
107,萬華區,華中河濱公園,遊憩區旁,景觀,,121.492325,25.017141,299688.7908,2767766.432
108,萬華區,華中河濱公園,遊憩區旁,景觀,,121.492303,25.017189,299686.5511,2767771.741
109,萬華區,華中河濱公園,遊憩區旁,景觀,,121.492281,25.017217,299684.3194,2767774.834
110,文山區,溪洲河濱公園,溪洲疏散門,景觀,,121.535041,24.998545,304008.19,2765722.99
111,文山區,溪洲河濱公園,溪洲疏散門,景觀,,121.535028,24.998578,304006.86,2765726.64
112,文山區,溪洲河濱公園,溪洲疏散門,景觀,,121.535023,24.99861,304006.34,2765730.18
113,文山區,道南右岸河濱公園,恆光橋旁,景觀,,121.567129,24.981157,307255.3407,2763810.173
114,文山區,道南右岸河濱公園,恆光橋旁,景觀,,121.567136,24.981116,307256.0664,2763805.634
115,文山區,道南右岸河濱公園,恆光橋旁,景觀,,121.567147,24.981075,307257.1959,2763801.098
116,文山區,道南左岸河濱公園,木柵租借站旁,景觀,,121.5802,24.999221,308566.4113,2765816.618
117,文山區,道南左岸河濱公園,木柵租借站旁,景觀,,121.580133,24.999225,308559.6462,2765817.032
118,文山區,道南左岸河濱公園,木柵租借站旁,景觀,,121.58008,24.999231,308554.2933,2765817.674
119,萬華區,龍山河濱公園,兒童遊戲場旁,景觀,,121.499701,25.043034,300422.66,2770637.2
120,萬華區,龍山河濱公園,兒童遊戲場旁,景觀,,121.499714,25.043007,300423.98,2770634.21
121,萬華區,龍山河濱公園,兒童遊戲場旁,景觀,,121.499731,25.042974,300425.71,2770630.56
122,萬華區,雙園河濱公園,兒童遊戲場旁,景觀,,121.488435,25.034544,299289.23,2769692.65
123,萬華區,雙園河濱公園,兒童遊戲場旁,景觀,,121.488423,25.034509,299288.03,2769688.77
124,萬華區,雙園河濱公園,兒童遊戲場旁,景觀,,121.48841,25.034484,299286.73,2769686
125,萬華區,雙園河濱公園,兒童遊戲場旁,景觀,,121.488404,25.034454,299286.14,2769682.67
126,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.4620011,25.12163185,296588.71,2779329.6
127,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.4620008,25.12160597,296588.69,2779326.73
128,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.4619996,25.12158193,296588.58,2779324.07
129,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.461998,25.12155975,296588.42,2779321.61
130,北投區,關渡水岸公園,關渡碼頭自行車租借站旁,景觀,,121.4619968,25.12153171,296588.31,2779318.51
131,北投區,關渡水岸公園,關渡宮旁,固定式,,121.463209,25.117463,296712.1,2778868.25
132,松山區,觀山河濱公園,觀山租借站旁,景觀,,121.569409,25.071416,307443.4936,2773808.742
133,松山區,觀山河濱公園,觀山租借站旁,景觀,,121.569448,25.071419,307447.4267,2773809.091
134,松山區,觀山河濱公園,觀山租借站旁,景觀,,121.569484,25.07141,307451.0627,2773808.109
135,松山區,觀山河濱公園,觀山租借站旁,景觀,,121.569517,25.071416,307454.3891,2773808.788
136,松山區,觀山河濱公園,觀山租借站旁,景觀,,121.569549,25.071419,307457.616,2773809.133
137,松山區,觀山河濱公園,兒童遊戲場旁,景觀,,121.568854,25.067011,307389.56,2773320.58
138,松山區,觀山河濱公園,兒童遊戲場旁,景觀,,121.568868,25.067006,307390.97,2773320.03
139,松山區,觀山河濱公園,兒童遊戲場旁,景觀,,121.568854,25.067011,307389.56,2773320.58
140,松山區,觀山河濱公園,兒童遊戲場旁,景觀,,121.568888,25.067003,307392.99,2773319.71
141,松山區,觀山河濱公園,麥帥二橋,景觀,,121.570607,25.05523,307571.9176,2772016.388
142,松山區,觀山河濱公園,麥帥二橋,景觀,,121.570607,25.05523,307571.9176,2772016.388
N1,士林區,雙溪左岸河濱公園,復興橋旁,一般型,,121.5367,25.0997,304127.99,2776927.99
